,Name,Link,Tier,Type,Location,Portfolio,# Investments
113,Silver Lake,https://cryptorank.io/funds/silver-lake,3,Venture,United States,AlchemyGenies,2
114,Singapore Exchange,https://cryptorank.io/funds/singapore-exchange,3,Corporation,Singapore,ADDXCobalt,2
115,SIX Group,https://cryptorank.io/funds/six-group,3,Corporation,Switzerland,SIBEXOmniex,2
116,SNÖ Ventures,https://cryptorank.io/funds/sno-ventures,3,Venture,Norway,Axie InfinityPresail,2
117,Square Enix,https://cryptorank.io/funds/squareenix,3,Corporation,Japan,ZebedeeYGG Japan,2
118,STRIVE VC,https://cryptorank.io/funds/strive-vc,3,Venture,Japan,Gaudiy,2
119,Stronghold Resource Partne...,https://cryptorank.io/funds/stronghold-resource-partners,3,Venture,United States,Unchained Capital,2
120,Sumitomo Mitsui Trust Bank,https://cryptorank.io/funds/sumitomo-mitsui-trust-bank,3,Venture,Japan,SecuritizeAnimoca Brands KK,2
121,SuperLayer,https://cryptorank.io/funds/superlayer,3,Corporation,United States,JoyrideGambit,2
122,Surge,https://cryptorank.io/funds/surge,3,Venture,Singapore,KlubNuo,2
123,SweeperDAO,https://cryptorank.io/funds/sweeperdao,3,DAO,Philippines,YGG SEALootex,2
124,Syndicate Protocol,https://cryptorank.io/funds/syndicate-protocol,3,Corporation,United States,Alliance DAOGlobal Coin Research,2
125,Tacans,https://cryptorank.io/funds/tacans,3,Corporation,Switzerland,ConcordexVeax Labs,2
126,TCV,https://cryptorank.io/funds/tcv,3,Venture,United States,Trade RepublicRevolut,2
127,Telos,https://cryptorank.io/funds/telos,3,Corporation,Cayman Islands,XDAOCollector,2
128,The Boston Consulting Grou...,https://cryptorank.io/funds/the-boston-consulting-group,3,Corporation,United States,Bakkt,2
129,The HBAR Foundation,https://cryptorank.io/funds/the-hbar-foundation,3,Corporation,N/A,CalaxyKAP Games,2
130,The Venture Center,https://cryptorank.io/funds/the-venture-center,3,Venture,United States,AltoBillon Group,2
131,The Venture Collective,https://cryptorank.io/funds/venture-collective,3,Venture,United States,Gari NetworkStack,2
132,Third Kind Games,https://cryptorank.io/funds/third-kind-games,3,Corporation,United Kingdom,Palm NFT StudioHypersonic Laboratories,2
133,ThunderCore,https://cryptorank.io/funds/thunder-core,3,Venture,United States,Animoca BrandsThe Sandbox,2
134,Tokai Tokyo Financial Hold...,https://cryptorank.io/funds/tokai-tokyo-financial-holdings,3,Corporation,Japan,ADDX,2
135,Tokenomik,https://cryptorank.io/funds/tokenomik,3,Venture,Australia,ReSource ProtocolProject SEED,2
136,Trail Mix Ventures (TMV),https://cryptorank.io/funds/trail-mix-ventures,3,Venture,United States,SecroTransmute Protocol,2
137,TrustPad,https://cryptorank.io/funds/trustpad,3,Corporation,Estonia,BullieverseSnook,2
138,TSG Consumer Partners,https://cryptorank.io/funds/tsg-consumer-partners,3,Venture,United States,RobinhoodRevolut,2
139,UNKNOWN VC,https://cryptorank.io/funds/unknown-vc,3,Venture,Hong Kong,SOMA financeEnterDAO,2
140,VentureSouq,https://cryptorank.io/funds/venture-souq,3,Venture,UAE,SuperDAOD3,2
141,Victory Park Capital,https://cryptorank.io/funds/victory-park-capital,3,Venture,United States,DaveSpring Labs,2
142,Vitruvian Partners,https://cryptorank.io/funds/vitruvian-partners,3,Venture,United Kingdom,Marqeta,2
143,VMware,https://cryptorank.io/funds/vmware,3,Corporation,United States,Certora,2
144,Walden Bridge Capital,https://cryptorank.io/funds/walden-bridge-capital,3,Hedge Fund,United States,MakerAnoma,2
145,Wave Capital,https://cryptorank.io/funds/wave-capital,3,Venture,United States,TwityD/Bond,2
146,Welight Capital,https://cryptorank.io/funds/welight-capital,3,Venture,China,Crypto Elite’s: BATTLEGROUNDS (CEBG)SPACE KILL,2
147,White Palm Ventures,https://cryptorank.io/funds/white-palm-ventures,3,Venture,UAE,PinknodeCrowny,2
148,Yellow Accelerator,https://cryptorank.io/funds/yellow-accelerator,3,Corporation,United States,QredoBits of Stock,2
149,Yieldly,https://cryptorank.io/funds/yieldly,3,Corporation,Singapore,TalonAlchemon,2
150,Yield Ventures,https://cryptorank.io/funds/yield-ventures,3,Venture,Singapore,Obol TechnologiesInjective,2
151,Zebec Labs,https://cryptorank.io/funds/zebec-protocol,3,Corporation,United States,PoseiSwapCoral Finance,2
152,Zola Global Investors,https://cryptorank.io/funds/zola-global-investors,3,Venture,Canada,AnomaSommelier,2
153,166 2nd,https://cryptorank.io/funds/166-2nd,3,Venture,United States,Flowcarbon,1
154,2F Capital,https://cryptorank.io/funds/2f-capital,3,Venture,United Kingdom,Cashaa,1
155,37 Angels,https://cryptorank.io/funds/37-angels,3,Venture,United States,Indicio,1
156,4WARD,https://cryptorank.io/funds/4ward,3,Venture,United States,Degis,1
157,500 Startups,https://cryptorank.io/funds/500-startups,3,Venture,United States,ChangeTip,1
158,8BlocksCapital,https://cryptorank.io/funds/8blockscapital,3,Venture,Hong Kong,Degis,1
159,9F Group,https://cryptorank.io/funds/9f-group,3,Corporation,China,Wyre,1
160,abrdn,https://cryptorank.io/funds/abrdn,3,Corporation,United Kingdom,Archax,1
161,Abridged,https://cryptorank.io/funds/abridged,3,Corporation,United States,DOOMSDAYX,1
162,Adams Street Partners,https://cryptorank.io/funds/adams-street-partners,3,Venture,United States,FalconX,1
163,Agman Partners,https://cryptorank.io/funds/agman-partners,3,Venture,United States,Coinlist,1
164,Agora,https://cryptorank.io/funds/agora,3,Corporation,United States,BIZVERSE,1
165,Agya Ventures,https://cryptorank.io/funds/agya-ventures,3,Venture,United States,Rigor,1
166,ah! Ventures,https://cryptorank.io/funds/ah-ventures,3,Venture,India,Unocoin,1
167,Aipollo Investment,https://cryptorank.io/funds/aipollo-investment,3,Venture,United States,Sending Labs,1
168,Akamai Technologies,https://cryptorank.io/funds/akamai-technologies,3,Venture,United States,BastionZero,1
169,Albatross Venture,https://cryptorank.io/funds/albatross-venture,3,Venture,China,Hoopox,1
170,Alberta Innovates,https://cryptorank.io/funds/alberta-innovates,3,Corporation,Canada,Creative Destruction Lab,1
171,Album VC,https://cryptorank.io/funds/album-vc,3,Venture,United States,TaxBit,1
172,Alchemix,https://cryptorank.io/funds/alchemix,3,Corporation,Finland,Blueberry Protocol,1
173,Algopulse,https://cryptorank.io/funds/algopulse,3,Corporation,Australia,Pact,1
174,AllianceBernstein,https://cryptorank.io/funds/alliance-bernstein,3,Venture,United States,Epic Games,1
175,Alliance of Angels,https://cryptorank.io/funds/alliance-of-angels,3,Venture,United States,Indicio,1
176,Allwinner Technology,https://cryptorank.io/funds/allwinner-technology,3,Corporation,China,Weibit Technology,1
177,Altered Ventures,https://cryptorank.io/funds/altered-ventures,3,Venture,United States,SuperWorld,1
178,Altium Capital,https://cryptorank.io/funds/altium-capital,3,Venture,United States,Aligned,1
179,Amatil X Ventures,https://cryptorank.io/funds/amatil-x-ventures,3,Venture,Australia,Centrapay,1
180,Angel Academe,https://cryptorank.io/funds/angel-academe,3,Venture,United Kingdom,Provenance,1
181,Another World,https://cryptorank.io/funds/another-world,3,Corporation,South Korea,Lifeform,1
182,Ant Group,https://cryptorank.io/funds/anr-group,3,Venture,China,QEDIT,1
183,APEX Ventures,https://cryptorank.io/funds/apex-ventures,3,Venture,Austria,Morpher,1
184,Apollo Global Management,https://cryptorank.io/funds/apollo-global-management,3,Venture,United States,Sui,1
185,Arcane Crypto,https://cryptorank.io/funds/arcane-crypto,3,Venture,Norway,LN Markets,1
186,Array Ventures,https://cryptorank.io/funds/array-ventures,3,Venture,United States,Stronghold Token,1
187,AR Ventures,https://cryptorank.io/funds/ar-ventures,3,Venture,UAE,Nakamoto Games,1
188,Ascend Money,https://cryptorank.io/funds/ascend-money,3,Corporation,Thailand,Opn,1
