,Name,Link,Tier,Type,Location,Portfolio,# Investments
4329,Generate Capital,https://cryptorank.io/funds/generate-capital,5,Venture,United States,Compute NorthCrusoe Energy Systems,2
4330,Genies,https://cryptorank.io/funds/genies,5,Corporation,United States,Yuga LabsAlchemy,2
4331,Glock Ventures,https://cryptorank.io/funds/glock-ventures,5,Venture,N/A,InvArchBandot Protocol,2
4332,GreenHouse Capital,https://cryptorank.io/funds/greenhouse-capital,5,Venture,Nigeria,BushaBitmama,2
4333,Hansa,https://cryptorank.io/funds/hansa,5,Incubator,Australia,RevelWeaveDB,2
4334,Heartland,https://cryptorank.io/funds/heartland,5,Venture,Denmark,Lunar,2
4335,Hive Hatch,https://cryptorank.io/funds/hive-hatch,5,Corporation,United States,ILUMASmoothie,2
4336,Hongtai Aplus,https://cryptorank.io/funds/hongtai-aplus,5,Venture,China,Nreal,2
4337,Horizon Kinetics,https://cryptorank.io/funds/horizon-kinetics,5,Venture,United States,Diamond StandardMUX Protocol,2
4338,Hudson Morgan Investments,https://cryptorank.io/funds/hudson-morgan,5,Venture,N/A,QubeChain,2
4339,Hyperguap,https://cryptorank.io/funds/hyperguap,5,Venture,United States,AltRainbow,2
4340,Hypra,https://cryptorank.io/funds/hypra,5,Venture,Portugal,UtorgEvaCodes,2
4341,Information Token DAO,https://cryptorank.io/funds/information-token-dao,5,DAO,N/A,HEATDeFrag,2
4342,ITOCHU Corporation,https://cryptorank.io/funds/itochu-corporation,5,Corporation,Japan,Farmer ConnectKyash,2
4343,Japan Post Investment Corp...,https://cryptorank.io/funds/japan-post-investment-corporation,5,Venture,Japan,KyashWealthPark,2
4344,JinLin Capital,https://cryptorank.io/funds/jinlin-capital,5,Venture,Singapore,BitCoke TokenTradelize,2
4345,Kora Management,https://cryptorank.io/funds/kora-management,5,Venture,United States,ForteAleo,2
4346,Kretos Ventures,https://cryptorank.io/funds/kretos-ventures,5,Venture,Vietnam,InvArchDmail,2
4347,L37 Venture Partners,https://cryptorank.io/funds/l37-venture-partners,5,Venture,United States,Data Gumbo,2
4348,Left Lane Capital,https://cryptorank.io/funds/left-lane-capital,5,Venture,United States,iTrustCapitalDiamond Standard,2
4349,Linear Ventures,https://cryptorank.io/funds/linear-ventures,5,Venture,China,MoonXCobo,2
4350,Lloyds Banking Group,https://cryptorank.io/funds/lloyds-banking-group,5,Venture,United Kingdom,Fnality International,2
4351,M23 Fund,https://cryptorank.io/funds/m23-fund,5,Venture,N/A,MetaTrustSpike,2
4352,Marathon Digital,https://cryptorank.io/funds/marathon-digital,5,Corporation,United States,AuradineCompute North,2
4353,MCP Asset Management Compa...,https://cryptorank.io/funds/mcp-asset-management-company,5,Venture,Hong Kong,Animoca Brands KKUcollex,2
4354,MG Capital,https://cryptorank.io/funds/mg-capital,5,Venture,United States,BovineVerseInPoker,2
4355,Mistral Venture Partners,https://cryptorank.io/funds/mistral-venture-partners,5,Venture,N/A,BlocWatchPassiv,2
4356,MMC Ventures,https://cryptorank.io/funds/mmc-ventures,5,Venture,United Kingdom,SuperfluidCopper,2
4357,Moonvault Capital,https://cryptorank.io/funds/moonvault-capital,5,Venture,Hong Kong,TreehouseArtemis Market,2
4358,Neowiz,https://cryptorank.io/funds/neowiz,5,Venture,South Korea,IskraEpic League,2
4359,Neptune DAO,https://cryptorank.io/funds/neptune-dao,5,DAO,United States,deBridgeprePO,2
4360,NetX Fund,https://cryptorank.io/funds/netx-fund,5,Venture,New Zealand,EjaraDeFiSafety,2
4361,Ontology Global Capital,https://cryptorank.io/funds/ontology-global,5,Venture,Singapore,Gmex.ioPOINTS Technology,2
4362,Oregon Enterprise Blockcha...,https://cryptorank.io/funds/oregon-enterprise-blockchain-venture-studio,5,Venture,United States,ChronicledPatientory,2
4363,Parallax Ventures,https://cryptorank.io/funds/parallax-ventures,5,Venture,Brazil,Mercado BitcoinWert,2
4364,Pavilion Capital,https://cryptorank.io/funds/pavilion-capital,5,Venture,N/A,Accredify,2
4365,PreSeed Ventures,https://cryptorank.io/funds/preseed-ventures,5,Venture,Denmark,CoinifyNorthstake,2
4366,ProDigital Future Fund,https://cryptorank.io/funds/prodigital-future-fund,5,Venture,Hong Kong,HypeSaintsGigaSpace,2
4367,Protagonist,https://cryptorank.io/funds/protagonist,5,Venture,United States,CogniCardinal,2
4368,Qualgro,https://cryptorank.io/funds/qualgro,5,Venture,Singapore,Accredify,2
4369,R&R Ventures,https://cryptorank.io/funds/rr-ventures,5,Venture,United States,CeloPercent,2
4370,Samaipata,https://cryptorank.io/funds/samaipata,5,Venture,Spain,VeremarkKomon,2
4371,Samurai by CyberFi,https://cryptorank.io/funds/samurai-cyberfi,5,Venture,N/A,Lossless ProtocolNFT Stars,2
4372,Seascape,https://cryptorank.io/funds/seascape,5,Corporation,Singapore,BlocklordsAngelic,2
4373,Snap Fingers,https://cryptorank.io/funds/snap-fingers,5,DAO,N/A,Web3GamesNFTMart,2
4374,Solr DAO,https://cryptorank.io/funds/solr-dao,5,DAO,N/A,MaraKingdom Karnage,2
4375,Source Code Capital,https://cryptorank.io/funds/source-code-capital,5,Venture,China,BUD,2
4376,Sovereign’s Capital,https://cryptorank.io/funds/sovereigns-capital,5,Venture,United States,Vivid LabsSprout,2
4377,Stride.VC,https://cryptorank.io/funds/stride-vc,5,Venture,United Kingdom,anotherblockFootium,2
4378,Switchboard,https://cryptorank.io/funds/switchboard,5,Corporation,United States,Vybe NetworkTsunami Finance,2
4379,Tabiya,https://cryptorank.io/funds/tabiya,5,Venture,Pakistan,Eclipse,2
4380,Terranova,https://cryptorank.io/funds/terranova,5,Venture,United States,Ertha,2
4381,The SALT Fund,https://cryptorank.io/funds/the-salt-fund,5,Venture,New Zealand,M^ZEROLore Explorer,2
4382,Tiga Investments,https://cryptorank.io/funds/tiga-investments,5,Venture,Singapore,AbraCosmose AI,2
4383,Tiny Capital,https://cryptorank.io/funds/tiny-capital,5,Venture,N/A,NewtonDefined,2
4384,Toba Capital,https://cryptorank.io/funds/toba-capital,5,Venture,United States,HyperproofSwype,2
4385,Todd & Rahul's Angel Fund,https://cryptorank.io/funds/todd-and-rahuls-angel-fund,5,Venture,N/A,FarcasterGym Class,2
4386,Toppan Printing,https://cryptorank.io/funds/toppan-printing,5,Venture,Japan,DeCurretKyash,2
4387,Umbrella Network,https://cryptorank.io/funds/umbrella-network,5,Corporation,Cayman Islands,MetalCoreSandstorm,2
4388,UniValues Associates,https://cryptorank.io/funds/univalues,5,Venture,China,HarmonyKava,2
4389,Untapped Capital,https://cryptorank.io/funds/untapped-capital,5,Venture,United States,FinntPixels,2
4390,Valley Capital Partners,https://cryptorank.io/funds/valley-capital-partners,5,Venture,United States,SIMBA ChainStrongSalt,2
4391,Vega Ventures,https://cryptorank.io/funds/vega-ventures,5,Venture,N/A,Burger SwapThe Animal Age,2
4392,Verve Ventures,https://cryptorank.io/funds/verve-ventures,5,Venture,Switzerland,Wyden,2
4393,VLane Capital,https://cryptorank.io/funds/vlane-capital,5,Venture,N/A,AlgorandMixMarvel,2
4394,0x Adventure,https://cryptorank.io/funds/0x-adventure,5,DAO,United States,Angelic,1
4395,0xkb,https://cryptorank.io/funds/0xkb,5,Venture,N/A,STIX,1
4396,1517 Fund,https://cryptorank.io/funds/1517-fund,5,Venture,United States,Swype,1
4397,468 Capital,https://cryptorank.io/funds/468-capital,5,Venture,Germany,Ponto,1
4398,68 Trading,https://cryptorank.io/funds/68-trading,5,Venture,N/A,Antex,1
4399,7 Blocks,https://cryptorank.io/funds/7-blocks,5,Venture,N/A,Altonomy,1
4400,ROK Capital,https://cryptorank.io/funds/rok-capital,3,Venture,South Korea,Boba NetworkCogniSNACKCLUB,17
4401,Social Capital,https://cryptorank.io/funds/social-capital,3,Venture,United States,BitcloutDecentralized SocialSpectral Finance,17
4402,Stratos Technologies,https://cryptorank.io/funds/stratos-technologies,3,Venture,United States,Fuel NetworkSubspace LabsGoldfinch,17
4403,Valhalla Capital,https://cryptorank.io/funds/valhalla-capital,3,Venture,United States,Decent DAOGenopetsMaverick Protocol,17
4404,Valor Capital Group,https://cryptorank.io/funds/valor-capital-group,3,Venture,United States,CircleBitsoCloudWalk,17
4405,4SV,https://cryptorank.io/funds/4sv,3,Venture,Vietnam,VerseComposable FinanceRedStone,16
4406,7 O'Clock Capital,https://cryptorank.io/funds/7-oclock-capital,3,Venture,China,BitCoke TokenIQ ProtocolSafeheron,16
4407,Acrew Capital,https://cryptorank.io/funds/acrew-capital,3,Venture,United States,AltoDoodlesCoinMetrics,16
4408,Alex Svanevik,https://cryptorank.io/funds/alex-svanevik,3, Angel Investor,Singapore,Alliance DAOElement FinanceWalletConnect,16
4409,Avalaunch,https://cryptorank.io/funds/avalaunch,3,Corporation,United States,AIKONDexalotFableborne,16
4410,Black Dragon Capital,https://cryptorank.io/funds/black-dragon-capital,3,Venture,United States,Panther ProtocolAleph ZeroMintlayer,16
4411,Emurgo,https://cryptorank.io/funds/emurgo,3,Corporation,Singapore,Cassava NetworkEjaraMythic Protocol,16
4412,Fidelity,https://cryptorank.io/funds/fidelity,3,Venture,United States,Epic GamesCircleStarling Bank,16
4413,Greycroft,https://cryptorank.io/funds/greycroft,3,Venture,United States,Public.comHidden RoadFrankieOne,16
4414,HG Ventures,https://cryptorank.io/funds/hg-ventures,3,Venture,South Korea,Primex FinanceMetaVisaIntmax,16
4415,imToken Ventures,https://cryptorank.io/funds/imtoken-ventures,3,Corporation,Singapore,LayerZeroAlliance DAONervos Network,16
4416,Infinite Capital,https://cryptorank.io/funds/infinite-capital,3,Venture,United States,RenQuantum ArtSocean Staked SOL,16
4417,Mapleblock Capital,https://cryptorank.io/funds/mapleblock-capital,3,Venture,India,MaraNGRAVEMyContainer,16
4418,Marc Bhargava,https://cryptorank.io/funds/marc-bhargava,3, Angel Investor,United States,Element FinanceFlowdeskNFTPort,16
4419,Old Fashion Research,https://cryptorank.io/funds/ofrfund,3,Venture,Singapore,NansenBoba NetworkPudgy Penguins,16
4420,Poolz Ventures,https://cryptorank.io/funds/poolz-ventures,3,Venture,Portugal,ChainPortBanger GamesI WORLD,16
4421,Tenzor Capital,https://cryptorank.io/funds/tenzor-capital,3,Venture,Cyprus,OP GamesNFT3deBridge,16
4422,Valor Equity Partners,https://cryptorank.io/funds/valor-equity-partners,3,Venture,United States,Republic NoteCrusoe Energy SystemsLightning Labs,16
4423,Avstar Capital,https://cryptorank.io/funds/avstar-capital,3,Venture,Indonesia,TeaDAOBullieverseZecrey Protocol,15
4424,Compound VC,https://cryptorank.io/funds/compound-vc,3,Venture,United States,Alliance DAOOrchidAgoric,15
4425,Cozomo de Medici,https://cryptorank.io/funds/cozomo-de-medici,3, Angel Investor,United States,JaduSNACKCLUBOncyber,15
4426,Mentha Partners,https://cryptorank.io/funds/mentha-partners,3,Venture,China,MetaWeb VenturesOrderly NetworkXLD Finance,15
4427,New Enterprise Associates ...,https://cryptorank.io/funds/new-enterprise,3,Venture,United States,RobinhoodFTX TokenGenies,15
4428,PayPal Ventures,https://cryptorank.io/funds/paypal-ventures,3,Venture,United States,Pax DollarAnchorage DigitalTRM Labs,15
4429,Primitive Ventures,https://cryptorank.io/funds/primitive-ventures,3,Venture,United States,MultichainChaos LabsKadena,15
4430,Skyland Ventures,https://cryptorank.io/funds/skyland-ventures,3,Venture,Japan,TaikoNanameueNFTGo,15
4431,Token Bay Capital,https://cryptorank.io/funds/tokenbaycapital,3,Venture,Hong Kong,Animoca BrandsHex TrustMerkle Science,15
4432,True Global Ventures,https://cryptorank.io/funds/trueglobalvc,3,Venture,Singapore,Animoca BrandsLedgerThe Sandbox,15
4433,Aniket Jindal,https://cryptorank.io/funds/aniket-jindal,3, Angel Investor,UAE,EthSignPush ProtocolStader,14
4434,Gnosis,https://cryptorank.io/funds/gnosis,3,Corporation,United States,Nomic FoundationWalletConnectAzuro,14
4435,Not Boring Capital,https://cryptorank.io/funds/not-boring-capital,3,Venture,United States,Axie InfinityCo:CreateBastion,14
4436,One Block Capital,https://cryptorank.io/funds/one-block-capital,3,Venture,Hong Kong,Origin ProtocolIQ ProtocolRevoland,14
4437,PrimeBlock Ventures,https://cryptorank.io/funds/primeblock-ventures,3,Venture,Singapore,Omni WalletSafeheronVolare Finance,14
4438,Sequoia Capital China,https://cryptorank.io/funds/sequoia-capital-china,3,Venture,China,NrealAnimoca BrandsMultichain,14
4439,Terra,https://cryptorank.io/funds/terra,3,Corporation,Singapore,Hex TrustFlipside CryptoEspresso,14
4440,Twin Apex Capital,https://cryptorank.io/funds/twin-apex-capital,3,Venture,British Virgin Islands,XP NetworkChronicleThe Virtua Kolect,14
4441,Valar Ventures,https://cryptorank.io/funds/valar-ventures,3,Venture,United States,Bitpanda Ecosystem TokenTaxBitBlockFi,14
4442,0xMaki,https://cryptorank.io/funds/0xmaki,3, Angel Investor,Japan,Lido DAO TokenAlliance DAOTessera,13
4443,Ankr,https://cryptorank.io/funds/ankr,3,Corporation,United States,AlienSwapSpace and TimeNFT3,13
4444,BR Capital,https://cryptorank.io/funds/br-capital,3,Venture,Cayman Islands,CoW ProtocolSuperfluidOP Games,13
4445,Chorus One,https://cryptorank.io/funds/chorus-one,3,Corporation,Switzerland,AgoricArchwayRated,13
4446,GEM Digital,https://cryptorank.io/funds/gem-digital,3,Venture,Bahamas,LithosphereNaetionEcowatt,13
4447,Illusionist Group,https://cryptorank.io/funds/illusionist-group,3,Venture,Vietnam,Subspace LabsRMRKJoystream,13
4448,Jordan Momtazi,https://cryptorank.io/funds/hjmomtazi,3, Angel Investor,Bermuda,Alliance DAOBalancerBlocknative,13
4449,Octopus Ventures,https://cryptorank.io/funds/octopus-ventures,3,Venture,United Kingdom,EllipticToken.ioTatum,13
4450,Origin Capital,https://cryptorank.io/funds/origin-capital,3,Venture,United Kingdom,Ninety EightPendleOctopus Network,13
4451,Raptor Capital,https://cryptorank.io/funds/raptor-capital,3,Venture,Singapore,Gunzilla GamesPax DollarThetanuts Finance,13
4452,The Global Emerging Market...,https://cryptorank.io/funds/the-global-emerging-markets-group,3,Venture,United States,UnizenLootMogulH2O Securities,13
4453,Wemade,https://cryptorank.io/funds/wemade,3,Corporation,South Korea,SygnumMachineFiIskra,13
4454,Zokyo,https://cryptorank.io/funds/zokyo,3,Venture,United States,LayerZeroGalaxy Fight ClubWombat Exchange,13
4455,Adaverse,https://cryptorank.io/funds/adaverse,3,Incubator,N/A,ForgeCassava NetworkBitmama,12
4456,Avatar,https://cryptorank.io/funds/avaxavatar,3,Venture,Singapore,WOO NetworkMadworldYoloYolo,12
4457,Com2uS,https://cryptorank.io/funds/com2us,3,Corporation,South Korea,LayerZeroCandy DigitalThe Sandbox,12
4458,Dan Romero,https://cryptorank.io/funds/dan-romero,3, Angel Investor,United States,GoldenCeramicXMTP,12
4459,Diogo Mónica,https://cryptorank.io/funds/diogo-monica,3, Angel Investor,United States,MessariXMTPBlocknative,12
4460,Earlybird Venture Capital,https://cryptorank.io/funds/earlybird-venture-capital,3,Venture,Germany,UpvestNuriM^ZERO,12
4461,Fairum Ventures,https://cryptorank.io/funds/fairum-ventures,3,Venture,United States,SubQueryBeyondFiXP Network,12
4462,Leadblock Partners,https://cryptorank.io/funds/leadblock-partners,3,Venture,United Kingdom,Bitpanda Ecosystem TokenTalosHex Trust,12
4463,PathDAO,https://cryptorank.io/funds/path-dao,3,DAO,Malaysia,AngelicCradlesBlast Royale,12
4464,Paul Veradittakit,https://cryptorank.io/funds/paul-veradittakit,3, Angel Investor,United States,XMTPChaos LabsAlchemy,12
4465,Staked VC,https://cryptorank.io/funds/staked-vc,3,Venture,Malta,FluenceAperture FinanceDiva,12
4466,Tyler Ward,https://cryptorank.io/funds/tyler-ward,3, Angel Investor,United States,EvertasPorter FinanceLyra Finance,12
4467,Uncorrelated Ventures,https://cryptorank.io/funds/uncorrelated-ventures,3,Venture,United States,AscendEx TokenHidden RoadMerkle Science,12
4468,XBTO Humla Ventures,https://cryptorank.io/funds/xbtohumla,3,Venture,France,Hidden RoadDecryptCHAMPtitles,12
4469,Advanced Blockchain,https://cryptorank.io/funds/advanced-blockchain,3,Venture,Germany,Element FinanceMaverick ProtocolComposable Finance,11
4470,Akatsuki,https://cryptorank.io/funds/akatsuki,3,Corporation,Japan,UniX GamingNanameueLootex,11
4471,Aleksander Larsen,https://cryptorank.io/funds/aleks-larsen,3, Angel Investor,Norway,PluangAlliance DAOHorizon Blockchain Games,11
4472,B Capital,https://cryptorank.io/funds/b-capital,3,Venture,United States,FalconXCoinDCXTRM Labs,11
4473,BEENEXT,https://cryptorank.io/funds/beenext,3,Venture,Singapore,Philippine Digital Asset ExchangeLystoCoins.ph,11
4474,Cobo,https://cryptorank.io/funds/cobo-wallet,3,Corporation,Singapore,Orderly NetworkFlashwireVirgoCX,11
4475,Peech Capital,https://cryptorank.io/funds/peech-capital,3,Venture,Netherlands,Primex FinanceSoliceMILC Platform,11
4476,Unanimous Capital,https://cryptorank.io/funds/unanimous-capital,3,Venture,United States,C2XBlocklordsSaga,11
4477,ZMT Capital,https://cryptorank.io/funds/zmt-capital,3,Venture,United States,Fuel NetworkOP GamesNFT3,11
4478,Blocore,https://cryptorank.io/funds/blocore,3,Venture,South Korea,AltavaNerdystarMoonfrost,10
4479,Bobby Ong,https://cryptorank.io/funds/bobby-ong,3, Angel Investor,Malaysia,Alliance DAOSetLysto,10
4480,Canonical Crypto,https://cryptorank.io/funds/canonical-crypto,3,Venture,United States,GensynFarcasterVybe Network,10
4481,Citi,https://cryptorank.io/funds/citi,3,Corporation,United States,TalosTRM LabsAxoni,10
4482,CoinList,https://cryptorank.io/funds/coinlist,3,Corporation,United States,Hex TrustTribal TokenEclipse,10
4483,DCVC,https://cryptorank.io/funds/dcvc,3,Venture,United States,StarkNetAuradineGolden,10
4484,Founder Collective,https://cryptorank.io/funds/founder-collective,3,Venture,United States,HivemapperDibbsFlipside Crypto,10
4485,GIC,https://cryptorank.io/funds/gic,3,Venture,Singapore,Epic GamesDigital Currency GroupAnchorage Digital,10
4486,Oddiyana Ventures,https://cryptorank.io/funds/oddiyana-ventures,3,Venture,South Korea,BlocklordsIQ ProtocolMetarun,10
4487,Panda Capital,https://cryptorank.io/funds/panda-capital,3,Venture,Hong Kong,JoystreamUlti ArenaCoinweb,10
4488,Plutus VC,https://cryptorank.io/funds/plutus-vc,3,Venture,Hong Kong,KingSwapMUX ProtocolRioDeFi,10
4489,Raj Gokal,https://cryptorank.io/funds/raj-gokal,3, Angel Investor,United States,Alliance DAOGoldenLit Protocol,10
4490,VBC Ventures,https://cryptorank.io/funds/vbc-ventures,3,Venture,Vietnam,SouniChronicleRaceFi,10
4491,Warner Music Group,https://cryptorank.io/funds/warner-music-group,3,Corporation,United States,ForteOP3NDressX,10
4492,35Ventures,https://cryptorank.io/funds/35ventures,3,Venture,United States,CoinbaseCogniSyndicate,9
4493,Asymmetric,https://cryptorank.io/funds/asymmetric,3,Venture,United States,EvmosSpice AICube.Exchange,9
4494,Balderton Capital,https://cryptorank.io/funds/balderton-capital,3,Venture,United Kingdom,Ramp NetworkTesseractFinoa,9
4495,Bybit,https://cryptorank.io/funds/bybit,3,Exchange,British Virgin Islands,ZkSyncParadigmP2P Validator,9
4496,Ceras Ventures,https://cryptorank.io/funds/ceras-ventures,3,Venture,United Kingdom,MintbasepeaqzCloak Network,9
4497,CinchBlock,https://cryptorank.io/funds/cinchblock,3,Corporation,Hong Kong,GenopetsIAGONMetaGods,9
4498,CoinDCX,https://cryptorank.io/funds/coin-dcx,3,Corporation,India,Unstoppable DomainsOpticPush Protocol,9
4499,CyberConnect,https://cryptorank.io/funds/cyberconnect,3,Corporation,United States,P12 Project TwelveTwitterScanMetaforo,9
4500,AAIC Holdings,https://cryptorank.io/funds/aaic-holdings,5,Venture,Singapore,CrowdForce,1
4501,Acet Capital,https://cryptorank.io/funds/acet-capital,5,Venture,N/A,Octav,1
4502,ACF Investors,https://cryptorank.io/funds/acfinvestors,5,Venture,United Kingdom,Veremark,1
4503,ADN Capital,https://cryptorank.io/funds/adn-capital,5,Venture,N/A,Antex,1
4504,Aethel Partners,https://cryptorank.io/funds/aethel-partners,5,Venture,United Kingdom,Dorae,1
4505,Airini,https://cryptorank.io/funds/airinifund,5,Venture,N/A,STFX,1
4506,AIRmaker,https://cryptorank.io/funds/air-maker,5,Venture,Singapore,StaTwig,1
4507,Airspeed18,https://cryptorank.io/funds/airspeed18,5,Venture,Hong Kong,PsyOptions,1
4508,AKA Angel,https://cryptorank.io/funds/aka-angel,5,Venture,United States,Pledge Finance,1
4509,Alcedo Digital Ventures,https://cryptorank.io/funds/alcedo-digital,5,Venture,N/A,Envoy Group,1
4510,Aleph Ventures,https://cryptorank.io/funds/aleph-ventures,5,Venture,Germany,TinyTap,1
4511,AliTrade,https://cryptorank.io/funds/ali-trade,5,Venture,N/A,Antex,1
4512,Alive Ventures,https://cryptorank.io/funds/alive-ventures,5,Venture,United States,Medallion,1
4513,All Iron Ventures,https://cryptorank.io/funds/all-iron-ventures,5,Venture,Spain,Virtex Stadium,1
4514,alphabet angels,https://cryptorank.io/funds/alphabet-angels,5,Venture,N/A,Helio,1
4515,Alpha Cidatel,https://cryptorank.io/funds/alphacitadel,5,Venture,United States,STFX,1
4516,Alpha Investment Group,https://cryptorank.io/funds/alpha-investment-group,5,Venture,Indonesia,Fusotao Protocol,1
4517,Alpha Transform Group,https://cryptorank.io/funds/alpha-transform-group,5,Venture,N/A,Syntropy,1
4518,Altive,https://cryptorank.io/funds/altive,5,Corporation,Hong Kong,SEBA,1
4519,Alt Tab Capital,https://cryptorank.io/funds/alttabfund,5,Hedge Fund,N/A,Unstoppable Domains,1
4520,Amun Capital,https://cryptorank.io/funds/amun-capital,5,Venture,N/A,Antex,1
4521,Anchor Protocol,https://cryptorank.io/funds/anchor-protocol,5,Corporation,South Korea,Fanfury,1
4522,Angel Protocol,https://cryptorank.io/funds/angel-protocol,5,Corporation,N/A,Fanfury,1
4523,Ant Trading,https://cryptorank.io/funds/ant-trading,5,Venture,N/A,Antex,1
4524,Apollo Projects,https://cryptorank.io/funds/apollo-projects,5,Corporation,New Zealand,Praxis Society,1
4525,Appaloosa Management,https://cryptorank.io/funds/appaloosa-management,5,Venture,United States,Epic Games,1
4526,Aquamarine Fund,https://cryptorank.io/funds/aquamarine-fund,5,Venture,Switzerland,Inca Digital,1
4527,Araceae Capital,https://cryptorank.io/funds/araceae-capital,5,Venture,N/A,AlienSwap,1
4528,Archax,https://cryptorank.io/funds/archax,5,Exchange,United Kingdom,Ownera,1
4529,Arkana Capital,https://cryptorank.io/funds/arkana-capital,5,Venture,N/A,D3 Labs,1
4530,Artnova,https://cryptorank.io/funds/artnova,5,Venture,France,LaCollection,1
4531,Aruwa Capital,https://cryptorank.io/funds/aruwa-capital,5,Venture,Nigeria,CrowdForce,1
4532,Asimov Ventures,https://cryptorank.io/funds/ssimov-ventures,5,Venture,United States,Kadena,1
4533,Aspectures Ventures,https://cryptorank.io/funds/aspectures-ventures,5,Venture,N/A,Idexo Token,1
4534,Atrix,https://cryptorank.io/funds/atrix,5,Corporation,N/A,Vybe Network,1
4535,Audeo Ventures,https://cryptorank.io/funds/audeo-ventures,5,Venture,United States,Kikitrade,1
4536,AuraBlock Ventures,https://cryptorank.io/funds/aurablock-ventures,5,Venture,N/A,NFT Stars,1
4537,Ausum Ventures,https://cryptorank.io/funds/ausum-ventures,5,Venture,United States,Codex Protocol,1
4538,AVA Capital,https://cryptorank.io/funds/ava-capital,5,Venture,N/A,Antex,1
4539,Avra,https://cryptorank.io/funds/avra,5,Venture,N/A,Ritual,1
4540,AW3L,https://cryptorank.io/funds/aw3l,5,Venture,United States,Shade Protocol,1
4541,B21 Capital,https://cryptorank.io/funds/b21-capital,5,Venture,N/A,Portal,1
4542,B5 Capital,https://cryptorank.io/funds/b5-capital,5,Venture,N/A,Alinea,1
4543,Badhouse Ventures,https://cryptorank.io/funds/badhouse-ventures,5,Venture,Canada,BlockSurvey,1
4544,BAF Capital,https://cryptorank.io/funds/baf-capital,5,Venture,N/A,IXX.com,1
4545,Banco Brasil Plural,https://cryptorank.io/funds/banco-plural,5,Venture,Brazil,Mercado Bitcoin,1
4546,Band Protocol,https://cryptorank.io/funds/band-protocol,5,Corporation,British Virgin Islands,Fanfury,1
4547,BankProv,https://cryptorank.io/funds/bank-prov,5,Corporation,United States,Blockmetrix,1
4548,Baopu Asset Management,https://cryptorank.io/funds/baopu-asset,5,Venture,N/A,Canaan Creative,1
4549,Basement Labs,https://cryptorank.io/funds/basement-labs,5,Venture,N/A,Portals,1
4550,BASS INVESTMENT,https://cryptorank.io/funds/bass-investment,5,Venture,South Korea,MarqVision,1
4551,BC Group,https://cryptorank.io/funds/bc-group,5,Venture,Hong Kong,Philippine Digital Asset Exchange,1
4552,BCH Angel Fund,https://cryptorank.io/funds/bch-angel,5,Venture,Hong Kong,MoonX,1
4553,Beachhead Venture Capital,https://cryptorank.io/funds/beachhead-venture-capital,5,Venture,Australia,Bumper,1
4554,Belobaba,https://cryptorank.io/funds/belobaba,5,Venture,Gibraltar,Banger Games,1
4555,Beni Venture Capital,https://cryptorank.io/funds/benivc1,5,Venture,United States,Topl,1
4556,Berkeley SkyDeck,https://cryptorank.io/funds/berkeley-skydeck,5,Venture,United States,Symbiont ,1
4557,Beyond Next Ventures,https://cryptorank.io/funds/beyond-next-ventures,5,Venture,Japan,Gemie,1
4558,Bin Zayed Group,https://cryptorank.io/funds/bin-zayed-group,5,Corporation,UAE,Caduceus,1
4559,Bird Capital,https://cryptorank.io/funds/bird-capital,5,Venture,United Kingdom,Coinfirm,1
4560,Bitcoin Suisse AG,https://cryptorank.io/funds/bitcoin-suisse-ag,5,Venture,Switzerland,CoinRoutes,1
4561,Bitfly Capital,https://cryptorank.io/funds/bitfly-capital,5,Venture,N/A,Burger Swap,1
4562,Bitfund Dao,https://cryptorank.io/funds/bitfund-dao,5,DAO,N/A,TonUP,1
4563,Bitnomic Capital Inc,https://cryptorank.io/funds/bitnomic-capital-inc,5,Venture,N/A,Vezgo,1
4564,BKCM,https://cryptorank.io/funds/bkcm,5,Venture,United States,Figment,1
4565,BlackLaunch,https://cryptorank.io/funds/black-launch,5,Venture,United States,Radpay,1
4566,Blockchain Assets,https://cryptorank.io/funds/blockchain-assets,5,Venture,Australia,Crypto Global United,1
4567,Blockchain Lab,https://cryptorank.io/funds/blockchain-lab,5,Venture,United Kingdom,Supreme Finance,1
4568,Blockspaper,https://cryptorank.io/funds/blockspaper,5,Corporation,N/A,Web3Games,1
4569,Bonsai Partners,https://cryptorank.io/funds/bonsai-partners,5,Venture,United States,Games For A Living,1
4570,Brand Foundry Ventures,https://cryptorank.io/funds/brand-foundry-ventures,5,Venture,United States,Satschel,1
4571,Broadway Angels,https://cryptorank.io/funds/broadway-angels,5,Venture,United States,Chronicled,1
4572,Buidlers Tribe,https://cryptorank.io/funds/buidlers-tribe,5,Venture,Singapore,Wall,1
4573,BX Venture,https://cryptorank.io/funds/bx-venture,5,Venture,Belgium,Duelist King,1
4574,C2G Ventures,https://cryptorank.io/funds/c2g-ventures,5,Venture,N/A,Idexo Token,1
4575,Cactus,https://cryptorank.io/funds/cactus,5,Venture,N/A,Vitraya,1
4576,CAICA DIGITAL,https://cryptorank.io/funds/caica-digital,5,Corporation,Japan,YGG Japan,1
4577,Cakra Ventures,https://cryptorank.io/funds/cakra-ventures,5,Venture,Indonesia,NOBI,1
4578,Canas Capital,https://cryptorank.io/funds/canas-capital,5,Venture,UAE,Tribal Token,1
4579,CBI Holding,https://cryptorank.io/funds/cbi-holding,5,Venture,N/A,TripleLab,1
4580,Chain Financial,https://cryptorank.io/funds/chain-financial,5,Corporation,New Zealand,Themis,1
